datetime,open,high,low,close
2006-06-26 00:00:00+00:00,1.25091,1.25991,1.2507,1.25891
2006-06-27 00:00:00+00:00,1.25919,1.26189,1.25671,1.2569
2006-06-28 00:00:00+00:00,1.25701,1.25861,1.25221,1.25459
2006-06-29 00:00:00+00:00,1.25459,1.26699,1.2523,1.2664
2006-06-30 00:00:00+00:00,1.2663,1.27949,1.266,1.2783
2006-07-03 00:00:00+00:00,1.2789,1.2821,1.2765,1.2801
2006-07-04 00:00:00+00:00,1.2801,1.2822,1.2782,1.279
2006-07-05 00:00:00+00:00,1.2792,1.28365,1.2711,1.2734
2006-07-06 00:00:00+00:00,1.27335,1.2783,1.2723,1.2776
2006-07-07 00:00:00+00:00,1.27769,1.2854,1.27689,1.2824
2006-07-10 00:00:00+00:00,1.2809,1.28139,1.2726,1.2745
2006-07-11 00:00:00+00:00,1.27431,1.27791,1.271,1.27675
2006-07-12 00:00:00+00:00,1.27689,1.27774,1.26825,1.2712
2006-07-13 00:00:00+00:00,1.2715,1.27299,1.26711,1.2697
2006-07-14 00:00:00+00:00,1.26979,1.26979,1.26299,1.2644
2006-07-17 00:00:00+00:00,1.2639,1.26409,1.25139,1.2518
2006-07-18 00:00:00+00:00,1.25189,1.2557,1.24855,1.2502
2006-07-19 00:00:00+00:00,1.2502,1.2608,1.2466,1.25991
2006-07-20 00:00:00+00:00,1.26,1.26529,1.25919,1.2633
2006-07-21 00:00:00+00:00,1.2635,1.2707,1.2632,1.2706
2006-07-24 00:00:00+00:00,1.2707,1.2707,1.2614,1.2624
2006-07-25 00:00:00+00:00,1.26224,1.26699,1.25671,1.2584
2006-07-26 00:00:00+00:00,1.2584,1.27251,1.25641,1.27129
2006-07-27 00:00:00+00:00,1.2712,1.27689,1.2686,1.2696
2006-07-28 00:00:00+00:00,1.2695,1.27699,1.2663,1.2751
2006-07-31 00:00:00+00:00,1.2765,1.2782,1.2746,1.2774
2006-08-01 00:00:00+00:00,1.2774,1.2831,1.2723,1.282
2006-08-02 00:00:00+00:00,1.28185,1.2835,1.2782,1.2792
2006-08-03 00:00:00+00:00,1.27915,1.2831,1.2747,1.2799
2006-08-04 00:00:00+00:00,1.28,1.29091,1.278,1.2879
2006-08-07 00:00:00+00:00,1.28839,1.28941,1.2811,1.2819
2006-08-08 00:00:00+00:00,1.2819,1.28849,1.2767,1.2767
2006-08-09 00:00:00+00:00,1.2773,1.29001,1.2773,1.2875
2006-08-10 00:00:00+00:00,1.28725,1.29101,1.2753,1.2793
2006-08-11 00:00:00+00:00,1.2792,1.2801,1.2721,1.27251
2006-08-14 00:00:00+00:00,1.2734,1.27619,1.27129,1.2723
2006-08-15 00:00:00+00:00,1.2722,1.2803,1.2711,1.2791
2006-08-16 00:00:00+00:00,1.2789,1.28641,1.2775,1.28431
2006-08-17 00:00:00+00:00,1.28421,1.28869,1.28149,1.2832
2006-08-18 00:00:00+00:00,1.28301,1.28446,1.27845,1.28281
2006-08-21 00:00:00+00:00,1.28389,1.29369,1.2836,1.2873
2006-08-22 00:00:00+00:00,1.2872,1.28829,1.27876,1.2812
2006-08-23 00:00:00+00:00,1.2812,1.28465,1.278,1.2781
2006-08-24 00:00:00+00:00,1.2784,1.28389,1.27561,1.27619
2006-08-25 00:00:00+00:00,1.27619,1.2783,1.2733,1.27571
2006-08-28 00:00:00+00:00,1.2761,1.2819,1.27571,1.27925
2006-08-29 00:00:00+00:00,1.27934,1.28389,1.2753,1.28291
2006-08-30 00:00:00+00:00,1.28291,1.2849,1.28139,1.28409
2006-08-31 00:00:00+00:00,1.28394,1.2878,1.279,1.2809
2006-09-01 00:00:00+00:00,1.2809,1.28451,1.276,1.2836
2006-09-04 00:00:00+00:00,1.2853,1.2876,1.28431,1.28569
2006-09-05 00:00:00+00:00,1.28569,1.2865,1.28,1.2824
2006-09-06 00:00:00+00:00,1.2823,1.2832,1.2774,1.2819
2006-09-07 00:00:00+00:00,1.2821,1.28301,1.27105,1.2732
2006-09-08 00:00:00+00:00,1.27311,1.2739,1.266,1.2673
2006-09-11 00:00:00+00:00,1.2673,1.27359,1.26541,1.271
2006-09-12 00:00:00+00:00,1.27079,1.27311,1.26784,1.2695
2006-09-13 00:00:00+00:00,1.2691,1.27129,1.26711,1.2697
2006-09-14 00:00:00+00:00,1.2697,1.27515,1.26789,1.2723
2006-09-15 00:00:00+00:00,1.2723,1.27371,1.26365,1.2651
2006-09-18 00:00:00+00:00,1.2643,1.2711,1.2635,1.2707
2006-09-19 00:00:00+00:00,1.27091,1.2727,1.26529,1.2677
2006-09-20 00:00:00+00:00,1.26789,1.2721,1.2668,1.26879
2006-09-21 00:00:00+00:00,1.2687,1.28,1.26855,1.2781
2006-09-22 00:00:00+00:00,1.2782,1.28301,1.27769,1.28
2006-09-25 00:00:00+00:00,1.2793,1.282,1.27359,1.2745
2006-09-26 00:00:00+00:00,1.27489,1.27619,1.2667,1.2687
2006-09-27 00:00:00+00:00,1.26879,1.27141,1.26751,1.2706
2006-09-28 00:00:00+00:00,1.2707,1.2733,1.26841,1.27036
2006-09-29 00:00:00+00:00,1.27065,1.2715,1.2644,1.26621
2006-10-02 00:00:00+00:00,1.26801,1.2759,1.2665,1.27419
