datetime,open,high,low,close
2022-07-21 07:00:00+00:00,1.19805,1.20045,1.19375,1.1942
2022-07-21 11:00:00+00:00,1.19425,1.197,1.1921,1.19225
2022-07-21 15:00:00+00:00,1.19225,1.1993,1.18905,1.19695
2022-07-21 19:00:00+00:00,1.1969,1.1982,1.19475,1.1981
2022-07-21 23:00:00+00:00,1.19815,1.201,1.19745,1.19955
2022-07-22 03:00:00+00:00,1.19965,1.19965,1.19595,1.19645
2022-07-22 07:00:00+00:00,1.1964,1.199,1.19165,1.19295
2022-07-22 11:00:00+00:00,1.1928,1.19765,1.1924,1.19535
2022-07-22 15:00:00+00:00,1.19555,1.20635,1.19405,1.2018
2022-07-22 19:00:00+00:00,1.20195,1.20245,1.19715,1.1998
2022-07-22 23:00:00+00:00,1.1998,1.20105,1.19925,1.2004
2022-07-24 23:00:00+00:00,1.2,1.2011,1.1986,1.1986
2022-07-25 03:00:00+00:00,1.19845,1.1996,1.1961,1.19855
2022-07-25 07:00:00+00:00,1.19865,1.19995,1.1963,1.1993
2022-07-25 11:00:00+00:00,1.19945,1.20825,1.19815,1.2059
2022-07-25 15:00:00+00:00,1.20615,1.2086,1.20255,1.20405
2022-07-25 19:00:00+00:00,1.2041,1.20595,1.2035,1.2052
2022-07-25 23:00:00+00:00,1.2053,1.20555,1.2039,1.20545
2022-07-26 03:00:00+00:00,1.2054,1.20905,1.2054,1.2068
2022-07-26 07:00:00+00:00,1.20675,1.20705,1.20355,1.2046
2022-07-26 11:00:00+00:00,1.20455,1.20485,1.19725,1.19815
2022-07-26 15:00:00+00:00,1.19815,1.20535,1.1964,1.2036
2022-07-26 19:00:00+00:00,1.2035,1.20425,1.2017,1.2021
2022-07-26 23:00:00+00:00,1.2023,1.2042,1.2022,1.20355
2022-07-27 03:00:00+00:00,1.2035,1.2058,1.2035,1.205
2022-07-27 07:00:00+00:00,1.205,1.20745,1.2036,1.2051
2022-07-27 11:00:00+00:00,1.2053,1.2087,1.2046,1.20645
2022-07-27 15:00:00+00:00,1.2067,1.20685,1.20205,1.2026
2022-07-27 19:00:00+00:00,1.2025,1.2186,1.20235,1.21665
2022-07-27 23:00:00+00:00,1.21665,1.21685,1.21475,1.21625
2022-07-28 03:00:00+00:00,1.2163,1.21855,1.21425,1.21645
2022-07-28 07:00:00+00:00,1.2165,1.2184,1.2154,1.2184
2022-07-28 11:00:00+00:00,1.2185,1.21915,1.21045,1.2121
2022-07-28 15:00:00+00:00,1.2121,1.2166,1.2104,1.21265
2022-07-28 19:00:00+00:00,1.21255,1.21685,1.2111,1.21675
2022-07-28 23:00:00+00:00,1.2167,1.21835,1.2163,1.21725
2022-07-29 03:00:00+00:00,1.2173,1.2196,1.2163,1.21915
2022-07-29 07:00:00+00:00,1.219,1.22455,1.2185,1.2214
2022-07-29 11:00:00+00:00,1.2215,1.2215,1.21375,1.2153
2022-07-29 15:00:00+00:00,1.2154,1.21875,1.2064,1.2182
2022-07-29 19:00:00+00:00,1.2182,1.21845,1.2152,1.2177
2022-07-29 23:00:00+00:00,1.2179,1.21895,1.217,1.2176
2022-07-31 23:00:00+00:00,1.2165,1.2179,1.2157,1.21685
2022-08-01 03:00:00+00:00,1.21685,1.21985,1.21635,1.2183
2022-08-01 07:00:00+00:00,1.21825,1.22055,1.2175,1.21975
2022-08-01 11:00:00+00:00,1.2197,1.22615,1.2195,1.2225
2022-08-01 15:00:00+00:00,1.22275,1.2294,1.222,1.2277
2022-08-01 19:00:00+00:00,1.2276,1.22845,1.22415,1.22545
2022-08-01 23:00:00+00:00,1.2256,1.2265,1.2246,1.22585
2022-08-02 03:00:00+00:00,1.2258,1.22795,1.22455,1.2258
2022-08-02 07:00:00+00:00,1.22575,1.2263,1.219,1.22
2022-08-02 11:00:00+00:00,1.2203,1.2228,1.2186,1.2217
2022-08-02 15:00:00+00:00,1.2217,1.22415,1.2181,1.22205
2022-08-02 19:00:00+00:00,1.2215,1.22255,1.21675,1.2168
2022-08-02 23:00:00+00:00,1.2168,1.21795,1.2141,1.2144
2022-08-03 03:00:00+00:00,1.2146,1.2188,1.2135,1.2187
2022-08-03 07:00:00+00:00,1.2186,1.22035,1.2158,1.219
2022-08-03 11:00:00+00:00,1.2191,1.22085,1.21665,1.2192
2022-08-03 15:00:00+00:00,1.21915,1.21965,1.2101,1.2132
2022-08-03 19:00:00+00:00,1.2132,1.21545,1.21245,1.21475
2022-08-03 23:00:00+00:00,1.21505,1.2152,1.21355,1.2138
2022-08-04 03:00:00+00:00,1.21385,1.2168,1.21385,1.21505
2022-08-04 07:00:00+00:00,1.21505,1.2176,1.2129,1.2166
2022-08-04 11:00:00+00:00,1.2166,1.21955,1.20665,1.2086
2022-08-04 15:00:00+00:00,1.2086,1.2144,1.20725,1.214
2022-08-04 19:00:00+00:00,1.214,1.2176,1.21365,1.217
2022-08-04 23:00:00+00:00,1.21705,1.2171,1.2151,1.2159
2022-08-05 03:00:00+00:00,1.21585,1.21585,1.21305,1.2144
2022-08-05 07:00:00+00:00,1.2144,1.21695,1.21355,1.2156
2022-08-05 11:00:00+00:00,1.2156,1.21575,1.2125,1.21415
2022-08-05 15:00:00+00:00,1.214,1.21485,1.2004,1.20615
2022-08-05 19:00:00+00:00,1.206,1.20935,1.2055,1.2072
2022-08-05 23:00:00+00:00,1.20705,1.20775,1.2068,1.2072
2022-08-07 23:00:00+00:00,1.207,1.2072,1.2057,1.20615
2022-08-08 03:00:00+00:00,1.20615,1.208,1.2048,1.208
2022-08-08 07:00:00+00:00,1.20795,1.2123,1.2069,1.2115
2022-08-08 11:00:00+00:00,1.2117,1.21175,1.20715,1.2117
2022-08-08 15:00:00+00:00,1.21165,1.21375,1.20925,1.20965
2022-08-08 19:00:00+00:00,1.20965,1.2099,1.20685,1.208
2022-08-08 23:00:00+00:00,1.208,1.20945,1.2076,1.2085
2022-08-09 03:00:00+00:00,1.20845,1.2089,1.20705,1.20835
2022-08-09 07:00:00+00:00,1.20835,1.2092,1.2066,1.2088
2022-08-09 11:00:00+00:00,1.2088,1.21305,1.2087,1.20985
2022-08-09 15:00:00+00:00,1.21005,1.2128,1.2079,1.2087
2022-08-09 19:00:00+00:00,1.20875,1.2094,1.2063,1.20725
2022-08-09 23:00:00+00:00,1.20735,1.2086,1.207,1.2072
2022-08-10 03:00:00+00:00,1.20715,1.20845,1.2065,1.20825
2022-08-10 07:00:00+00:00,1.2082,1.2091,1.20675,1.2087
2022-08-10 11:00:00+00:00,1.2087,1.2125,1.2081,1.21245
2022-08-10 15:00:00+00:00,1.2124,1.2277,1.2104,1.2242
2022-08-10 19:00:00+00:00,1.2244,1.22615,1.2212,1.2219
2022-08-10 23:00:00+00:00,1.2219,1.2233,1.22055,1.22105
2022-08-11 03:00:00+00:00,1.22105,1.22175,1.21825,1.2192
2022-08-11 07:00:00+00:00,1.21925,1.2232,1.2184,1.22265
2022-08-11 11:00:00+00:00,1.2225,1.2246,1.21955,1.221
2022-08-11 15:00:00+00:00,1.2209,1.225,1.21965,1.22255
2022-08-11 19:00:00+00:00,1.22275,1.22305,1.21855,1.219
2022-08-11 23:00:00+00:00,1.21905,1.2214,1.21895,1.21945
2022-08-12 03:00:00+00:00,1.21955,1.2202,1.2177,1.21895
2022-08-12 07:00:00+00:00,1.2189,1.2213,1.21675,1.21825
2022-08-12 11:00:00+00:00,1.2181,1.2184,1.2116,1.213
2022-08-12 15:00:00+00:00,1.21315,1.2149,1.21,1.21305
2022-08-12 19:00:00+00:00,1.2131,1.21465,1.21255,1.21375
2022-08-12 23:00:00+00:00,1.2137,1.21425,1.21325,1.21355
2022-08-14 23:00:00+00:00,1.2133,1.2139,1.2123,1.21285
2022-08-15 03:00:00+00:00,1.2128,1.2148,1.21085,1.21225
2022-08-15 07:00:00+00:00,1.21225,1.21265,1.209,1.2104
2022-08-15 11:00:00+00:00,1.2104,1.2109,1.2051,1.2083
2022-08-15 15:00:00+00:00,1.2084,1.2113,1.20725,1.2087
2022-08-15 19:00:00+00:00,1.2088,1.2088,1.2053,1.2055
2022-08-15 23:00:00+00:00,1.2055,1.2061,1.20505,1.20565
2022-08-16 03:00:00+00:00,1.20565,1.20605,1.20355,1.2049
2022-08-16 07:00:00+00:00,1.2049,1.2059,1.2008,1.2059
2022-08-16 11:00:00+00:00,1.20555,1.20555,1.2013,1.2022
2022-08-16 15:00:00+00:00,1.2021,1.2117,1.20185,1.2089
2022-08-16 19:00:00+00:00,1.20895,1.2104,1.2075,1.20945
2022-08-16 23:00:00+00:00,1.2094,1.2106,1.2085,1.2094
2022-08-17 03:00:00+00:00,1.2095,1.2116,1.20945,1.2106
2022-08-17 07:00:00+00:00,1.2107,1.2143,1.2082,1.20975
2022-08-17 11:00:00+00:00,1.2098,1.21205,1.2062,1.208
2022-08-17 15:00:00+00:00,1.2079,1.2096,1.2028,1.2028
2022-08-17 19:00:00+00:00,1.20285,1.20875,1.20285,1.20505
2022-08-17 23:00:00+00:00,1.20515,1.2065,1.2042,1.20455
2022-08-18 03:00:00+00:00,1.2046,1.20605,1.20305,1.2035
2022-08-18 07:00:00+00:00,1.2035,1.20505,1.19955,1.2027
2022-08-18 11:00:00+00:00,1.2027,1.20795,1.2027,1.2065
2022-08-18 15:00:00+00:00,1.2063,1.2072,1.19685,1.19695
2022-08-18 19:00:00+00:00,1.197,1.19755,1.1923,1.1936
2022-08-18 23:00:00+00:00,1.1937,1.1942,1.1926,1.19305
2022-08-19 03:00:00+00:00,1.1931,1.19335,1.1905,1.19165
2022-08-19 07:00:00+00:00,1.19165,1.19265,1.1894,1.1912
2022-08-19 11:00:00+00:00,1.19115,1.19125,1.1816,1.1832
2022-08-19 15:00:00+00:00,1.1834,1.18575,1.17925,1.18095
2022-08-19 19:00:00+00:00,1.1807,1.1834,1.1807,1.18305
2022-08-19 23:00:00+00:00,1.183,1.1833,1.1824,1.1831
2022-08-21 23:00:00+00:00,1.1824,1.1839,1.1812,1.1819
2022-08-22 03:00:00+00:00,1.1819,1.18365,1.18055,1.18305
2022-08-22 07:00:00+00:00,1.183,1.18365,1.17875,1.17945
2022-08-22 11:00:00+00:00,1.17955,1.182,1.17825,1.1805
2022-08-22 15:00:00+00:00,1.1805,1.18255,1.1742,1.17505
2022-08-22 19:00:00+00:00,1.17505,1.1784,1.175,1.1765
2022-08-22 23:00:00+00:00,1.17655,1.1778,1.1758,1.1765
2022-08-23 03:00:00+00:00,1.1765,1.17855,1.17575,1.1773
2022-08-23 07:00:00+00:00,1.17715,1.1779,1.1718,1.1765
2022-08-23 11:00:00+00:00,1.1767,1.17825,1.17465,1.177
2022-08-23 15:00:00+00:00,1.1767,1.1877,1.175,1.18445
2022-08-23 19:00:00+00:00,1.18445,1.18535,1.1817,1.183
2022-08-23 23:00:00+00:00,1.1829,1.1842,1.1825,1.18295
2022-08-24 03:00:00+00:00,1.18295,1.18355,1.1799,1.18085
2022-08-24 07:00:00+00:00,1.1808,1.1834,1.18015,1.18275
2022-08-24 11:00:00+00:00,1.1827,1.1833,1.17685,1.1777
2022-08-24 15:00:00+00:00,1.17765,1.1825,1.1756,1.17995
2022-08-24 19:00:00+00:00,1.1802,1.1806,1.17805,1.1799
2022-08-24 23:00:00+00:00,1.1799,1.1809,1.17895,1.17905
2022-08-25 03:00:00+00:00,1.17905,1.18255,1.1784,1.1818
2022-08-25 07:00:00+00:00,1.1817,1.18645,1.18155,1.1842
2022-08-25 11:00:00+00:00,1.18425,1.1857,1.1822,1.1836
2022-08-25 15:00:00+00:00,1.18355,1.18505,1.1793,1.18025
2022-08-25 19:00:00+00:00,1.1801,1.1839,1.17955,1.1836
2022-08-25 23:00:00+00:00,1.1835,1.18395,1.18225,1.18235
2022-08-26 03:00:00+00:00,1.1823,1.18315,1.18065,1.18255
2022-08-26 07:00:00+00:00,1.1826,1.18265,1.17755,1.17925
2022-08-26 11:00:00+00:00,1.1793,1.18455,1.1777,1.1818
2022-08-26 15:00:00+00:00,1.18175,1.19005,1.1752,1.1775
2022-08-26 19:00:00+00:00,1.1777,1.1786,1.17335,1.1737
2022-08-26 23:00:00+00:00,1.1737,1.1746,1.17335,1.1741
2022-08-28 23:00:00+00:00,1.1735,1.17385,1.1685,1.1689
2022-08-29 03:00:00+00:00,1.1689,1.17,1.1656,1.1668
2022-08-29 07:00:00+00:00,1.1668,1.16775,1.16485,1.1674
2022-08-29 08:00:00+00:00,1.16545,1.16825,1.16485,1.1659
2022-08-29 12:00:00+00:00,1.1659,1.17345,1.1657,1.1716
2022-08-29 16:00:00+00:00,1.17185,1.1744,1.1686,1.1722
2022-08-29 20:00:00+00:00,1.1723,1.17295,1.16985,1.1708
