datetime,open,high,low,close
2024-11-28 02:00:00+00:00,1.403,1.4031,1.4026,1.4026
2024-11-28 03:00:00+00:00,1.4025,1.40285,1.4023,1.4027
2024-11-28 04:00:00+00:00,1.4026,1.4029,1.40095,1.4014
2024-11-28 05:00:00+00:00,1.40145,1.40205,1.4006,1.4012
2024-11-28 06:00:00+00:00,1.4013,1.4017,1.4008,1.4013
2024-11-28 07:00:00+00:00,1.4013,1.40245,1.4013,1.4023
2024-11-28 08:00:00+00:00,1.4023,1.40265,1.4021,1.4024
2024-11-28 09:00:00+00:00,1.4024,1.4026,1.402,1.4022
2024-11-28 10:00:00+00:00,1.40225,1.40285,1.4019,1.4023
2024-11-28 11:00:00+00:00,1.4022,1.40285,1.4017,1.4025
2024-11-28 12:00:00+00:00,1.4027,1.4032,1.4009,1.401
2024-11-28 13:00:00+00:00,1.401,1.40155,1.40065,1.40075
2024-11-28 14:00:00+00:00,1.40085,1.401,1.40015,1.4004
2024-11-28 15:00:00+00:00,1.4004,1.40105,1.39985,1.40085
2024-11-28 16:00:00+00:00,1.4008,1.40135,1.4008,1.4012
2024-11-28 17:00:00+00:00,1.4011,1.40145,1.4,1.401
2024-11-28 18:00:00+00:00,1.4009,1.4016,1.4003,1.40105
2024-11-28 19:00:00+00:00,1.40105,1.40205,1.4009,1.40095
2024-11-28 20:00:00+00:00,1.40105,1.40125,1.4007,1.40075
2024-11-28 21:00:00+00:00,1.4008,1.4011,1.40055,1.4008
2024-11-28 22:00:00+00:00,1.4008,1.40125,1.40045,1.401
2024-11-28 23:00:00+00:00,1.4009,1.4012,1.40065,1.401
2024-11-29 00:00:00+00:00,1.401,1.4016,1.4009,1.4015
2024-11-29 01:00:00+00:00,1.4015,1.4016,1.4009,1.4016
2024-11-29 02:00:00+00:00,1.40115,1.40185,1.40075,1.40125
2024-11-29 03:00:00+00:00,1.4013,1.4015,1.40075,1.4008
2024-11-29 04:00:00+00:00,1.4008,1.4013,1.3999,1.40055
2024-11-29 05:00:00+00:00,1.40065,1.4007,1.39935,1.40005
2024-11-29 06:00:00+00:00,1.40005,1.4002,1.39935,1.3994
2024-11-29 07:00:00+00:00,1.3994,1.3995,1.39835,1.3985
2024-11-29 08:00:00+00:00,1.39855,1.399,1.3981,1.39885
2024-11-29 09:00:00+00:00,1.3988,1.39975,1.3986,1.39955
2024-11-29 10:00:00+00:00,1.3996,1.3996,1.3981,1.3984
2024-11-29 11:00:00+00:00,1.39845,1.4004,1.39845,1.39995
2024-11-29 12:00:00+00:00,1.39995,1.4013,1.3995,1.4012
2024-11-29 13:00:00+00:00,1.40115,1.4013,1.3997,1.3999
2024-11-29 14:00:00+00:00,1.3999,1.40085,1.3996,1.4006
2024-11-29 15:00:00+00:00,1.4006,1.40085,1.3996,1.4002
2024-11-29 16:00:00+00:00,1.4002,1.4021,1.4,1.40125
2024-11-29 17:00:00+00:00,1.4012,1.4043,1.4005,1.4028
2024-11-29 18:00:00+00:00,1.4027,1.4046,1.4016,1.4021
2024-11-29 19:00:00+00:00,1.4022,1.40305,1.4,1.4005
2024-11-29 20:00:00+00:00,1.4006,1.4021,1.39995,1.40155
2024-11-29 21:00:00+00:00,1.4017,1.4017,1.3999,1.3999
2024-11-29 22:00:00+00:00,1.39995,1.4011,1.39935,1.4003
2024-11-29 23:00:00+00:00,1.40025,1.4005,1.3992,1.3994
2024-11-30 00:00:00+00:00,1.39945,1.4002,1.3985,1.4001
2024-11-30 01:00:00+00:00,1.4002,1.4009,1.3997,1.4002
2024-12-02 02:00:00+00:00,1.39895,1.39935,1.39895,1.39935
2024-12-02 03:00:00+00:00,1.3995,1.40185,1.3994,1.4014
2024-12-02 04:00:00+00:00,1.4014,1.4032,1.4013,1.4027
2024-12-02 05:00:00+00:00,1.4028,1.4036,1.40265,1.4033
2024-12-02 06:00:00+00:00,1.4034,1.4042,1.4033,1.40375
2024-12-02 07:00:00+00:00,1.4038,1.404,1.40315,1.4035
2024-12-02 08:00:00+00:00,1.4034,1.40375,1.4031,1.4033
2024-12-02 09:00:00+00:00,1.40335,1.404,1.4026,1.40325
2024-12-02 10:00:00+00:00,1.40315,1.4033,1.4018,1.4021
2024-12-02 11:00:00+00:00,1.40205,1.40415,1.4017,1.40415
2024-12-02 12:00:00+00:00,1.4042,1.4049,1.4036,1.4039
2024-12-02 13:00:00+00:00,1.4038,1.40395,1.40285,1.403
2024-12-02 14:00:00+00:00,1.403,1.4039,1.4019,1.4039
2024-12-02 15:00:00+00:00,1.4038,1.40395,1.4024,1.4034
2024-12-02 16:00:00+00:00,1.4034,1.4048,1.40285,1.40435
2024-12-02 17:00:00+00:00,1.4043,1.4046,1.40315,1.4035
2024-12-02 18:00:00+00:00,1.4034,1.4075,1.4028,1.407
2024-12-02 19:00:00+00:00,1.4076,1.409,1.4066,1.408
2024-12-02 20:00:00+00:00,1.408,1.4085,1.4066,1.4071
2024-12-02 21:00:00+00:00,1.4071,1.4074,1.4054,1.40565
2024-12-02 22:00:00+00:00,1.4056,1.40595,1.4046,1.4046
2024-12-02 23:00:00+00:00,1.4047,1.405,1.40435,1.40455
2024-12-03 00:00:00+00:00,1.4047,1.40525,1.4038,1.4046
2024-12-03 01:00:00+00:00,1.4047,1.40485,1.40385,1.40465
2024-12-03 02:00:00+00:00,1.40475,1.4054,1.4042,1.40465
2024-12-03 03:00:00+00:00,1.4043,1.4047,1.4042,1.4047
2024-12-03 04:00:00+00:00,1.4047,1.4054,1.40445,1.40485
2024-12-03 05:00:00+00:00,1.40475,1.4059,1.404,1.4054
2024-12-03 06:00:00+00:00,1.4054,1.40645,1.4054,1.4056
2024-12-03 07:00:00+00:00,1.4056,1.4059,1.4047,1.405
2024-12-03 08:00:00+00:00,1.405,1.40535,1.40475,1.4053
2024-12-03 09:00:00+00:00,1.4053,1.4058,1.4044,1.40455
2024-12-03 10:00:00+00:00,1.4045,1.405,1.404,1.40445
2024-12-03 11:00:00+00:00,1.40455,1.4047,1.4035,1.4037
2024-12-03 12:00:00+00:00,1.4039,1.4039,1.4011,1.4014
2024-12-03 13:00:00+00:00,1.40145,1.4026,1.401,1.40205
2024-12-03 14:00:00+00:00,1.4019,1.4038,1.4018,1.40375
2024-12-03 15:00:00+00:00,1.40375,1.4041,1.40345,1.40395
2024-12-03 16:00:00+00:00,1.404,1.4049,1.4033,1.4041
2024-12-03 17:00:00+00:00,1.40415,1.4045,1.4031,1.404
2024-12-03 18:00:00+00:00,1.404,1.4045,1.4026,1.40405
2024-12-03 19:00:00+00:00,1.40415,1.4072,1.40415,1.4065
2024-12-03 20:00:00+00:00,1.4066,1.4076,1.4063,1.40665
2024-12-03 21:00:00+00:00,1.4066,1.407,1.4051,1.40525
2024-12-03 22:00:00+00:00,1.4053,1.40555,1.40475,1.4051
2024-12-03 23:00:00+00:00,1.4051,1.407,1.4051,1.407
2024-12-04 00:00:00+00:00,1.4071,1.40725,1.4061,1.4069
2024-12-04 01:00:00+00:00,1.4068,1.4072,1.40645,1.4069
2024-12-04 02:00:00+00:00,1.40675,1.407,1.40645,1.4066
2024-12-04 03:00:00+00:00,1.4066,1.407,1.40645,1.4065
2024-12-04 04:00:00+00:00,1.4065,1.4078,1.40615,1.4075
2024-12-04 05:00:00+00:00,1.4073,1.408,1.4067,1.4072
2024-12-04 06:00:00+00:00,1.4072,1.4078,1.40675,1.4077
2024-12-04 07:00:00+00:00,1.40775,1.4083,1.4076,1.40795
2024-12-04 08:00:00+00:00,1.40795,1.4081,1.40635,1.40645
2024-12-04 09:00:00+00:00,1.4064,1.4067,1.4061,1.40635
