datetime,open,high,low,close
2025-04-25 02:00:00+00:00,1.38553,1.38595,1.3849,1.38582
2025-04-25 02:30:00+00:00,1.38582,1.3859,1.3851,1.38551
2025-04-25 03:00:00+00:00,1.38549,1.38606,1.3851,1.38569
2025-04-25 03:30:00+00:00,1.38574,1.38654,1.3853,1.38637
2025-04-25 04:00:00+00:00,1.38639,1.38661,1.3854,1.38594
2025-04-25 04:30:00+00:00,1.38594,1.38713,1.3855,1.38696
2025-04-25 05:00:00+00:00,1.38695,1.38703,1.3859,1.3862
2025-04-25 05:30:00+00:00,1.38671,1.3871,1.3862,1.38669
2025-04-25 06:00:00+00:00,1.38667,1.38674,1.3857,1.3862
2025-04-25 06:30:00+00:00,1.38644,1.38728,1.386,1.38712
2025-04-25 07:00:00+00:00,1.38711,1.38767,1.3866,1.38738
2025-04-25 07:30:00+00:00,1.38739,1.38764,1.3869,1.38757
2025-04-25 08:00:00+00:00,1.38754,1.3878,1.3869,1.3873
2025-04-25 08:30:00+00:00,1.3877,1.38847,1.3872,1.38804
2025-04-25 09:00:00+00:00,1.38801,1.38893,1.3872,1.38779
2025-04-25 09:30:00+00:00,1.38775,1.38786,1.3862,1.3867
2025-04-25 10:00:00+00:00,1.38674,1.38754,1.3855,1.38743
2025-04-25 10:30:00+00:00,1.38748,1.38821,1.3869,1.3876
2025-04-25 11:00:00+00:00,1.38776,1.38858,1.3871,1.3882
2025-04-25 11:30:00+00:00,1.38845,1.38901,1.3879,1.38873
2025-04-25 12:00:00+00:00,1.38869,1.38902,1.388,1.3884
2025-04-25 12:30:00+00:00,1.38874,1.38923,1.3882,1.3889
2025-04-25 13:00:00+00:00,1.3888,1.38915,1.3879,1.3883
2025-04-25 13:30:00+00:00,1.38852,1.38889,1.3878,1.38867
2025-04-25 14:00:00+00:00,1.38862,1.38884,1.3872,1.38817
2025-04-25 14:30:00+00:00,1.38814,1.38841,1.3868,1.38731
2025-04-25 15:00:00+00:00,1.38729,1.3875,1.3862,1.38726
2025-04-25 15:30:00+00:00,1.38738,1.38743,1.3859,1.38727
2025-04-25 16:00:00+00:00,1.38721,1.38758,1.3859,1.3865
2025-04-25 16:30:00+00:00,1.38675,1.38692,1.3847,1.38533
2025-04-25 17:00:00+00:00,1.38525,1.3862,1.3845,1.38564
2025-04-25 17:30:00+00:00,1.38565,1.38653,1.385,1.38623
2025-04-25 18:00:00+00:00,1.38625,1.38635,1.385,1.38577
2025-04-25 18:30:00+00:00,1.38577,1.38605,1.3849,1.3856
2025-04-25 19:00:00+00:00,1.38585,1.38654,1.3854,1.3858
2025-04-25 19:30:00+00:00,1.38614,1.38625,1.3851,1.38601
2025-04-25 20:00:00+00:00,1.38603,1.38628,1.385,1.38609
2025-04-25 20:30:00+00:00,1.38611,1.38758,1.3855,1.38711
2025-04-25 21:00:00+00:00,1.38709,1.38744,1.386,1.38668
2025-04-25 21:30:00+00:00,1.38665,1.3868,1.3853,1.38581
2025-04-25 22:00:00+00:00,1.38584,1.38644,1.3855,1.38601
2025-04-25 22:30:00+00:00,1.386,1.38635,1.3855,1.38608
2025-04-25 23:00:00+00:00,1.3861,1.38624,1.3849,1.38564
2025-04-25 23:30:00+00:00,1.38558,1.3859,1.3845,1.3853
2025-04-26 00:00:00+00:00,1.3854,1.3854,1.3853,1.3853
2025-04-28 02:00:00+00:00,1.38687,1.38717,1.3857,1.38669
2025-04-28 02:30:00+00:00,1.38669,1.38723,1.3858,1.38704
2025-04-28 03:00:00+00:00,1.38706,1.38771,1.3866,1.38756
2025-04-28 03:30:00+00:00,1.38754,1.38764,1.3867,1.3874
2025-04-28 04:00:00+00:00,1.38739,1.38773,1.3866,1.38769
2025-04-28 04:30:00+00:00,1.38765,1.38834,1.3871,1.38823
2025-04-28 05:00:00+00:00,1.38817,1.3885,1.3875,1.38818
2025-04-28 05:30:00+00:00,1.38819,1.38825,1.3874,1.38808
2025-04-28 06:00:00+00:00,1.38802,1.38831,1.387,1.38759
2025-04-28 06:30:00+00:00,1.38756,1.38763,1.3868,1.38747
2025-04-28 07:00:00+00:00,1.38749,1.38753,1.3866,1.3867
2025-04-28 07:30:00+00:00,1.38708,1.38722,1.3861,1.3863
2025-04-28 08:00:00+00:00,1.38653,1.38677,1.3859,1.38671
2025-04-28 08:30:00+00:00,1.3867,1.38675,1.3859,1.38635
2025-04-28 09:00:00+00:00,1.38635,1.38756,1.386,1.3875
2025-04-28 09:30:00+00:00,1.38749,1.38872,1.3868,1.388
2025-04-28 10:00:00+00:00,1.38825,1.3885,1.387,1.38761
2025-04-28 10:30:00+00:00,1.3873,1.38834,1.3867,1.38802
2025-04-28 11:00:00+00:00,1.38808,1.38926,1.3877,1.3888
