datetime,open,high,low,close
2006-09-21 00:00:00+00:00,1.251,1.2545,1.2411,1.2425
2006-09-22 00:00:00+00:00,1.2423,1.2431,1.2318,1.2361
2006-09-25 00:00:00+00:00,1.2357,1.2399,1.229,1.2389
2006-09-26 00:00:00+00:00,1.2386,1.2468,1.2366,1.2435
2006-09-27 00:00:00+00:00,1.2437,1.2477,1.2414,1.2441
2006-09-28 00:00:00+00:00,1.244,1.2492,1.2417,1.2466
2006-09-29 00:00:00+00:00,1.2472,1.2571,1.2455,1.2506
2006-10-02 00:00:00+00:00,1.2499,1.2529,1.2402,1.2429
2006-10-03 00:00:00+00:00,1.2435,1.2469,1.242,1.2451
2006-10-04 00:00:00+00:00,1.2455,1.2547,1.2446,1.2485
2006-10-05 00:00:00+00:00,1.2484,1.255,1.2477,1.2517
2006-10-06 00:00:00+00:00,1.2522,1.2637,1.2488,1.2601
2006-10-09 00:00:00+00:00,1.2611,1.2622,1.2588,1.2618
2006-10-10 00:00:00+00:00,1.2618,1.271,1.2597,1.27
2006-10-11 00:00:00+00:00,1.271,1.2746,1.2685,1.2727
2006-10-12 00:00:00+00:00,1.2726,1.2736,1.2674,1.2685
2006-10-13 00:00:00+00:00,1.2689,1.2772,1.2663,1.273
2006-10-16 00:00:00+00:00,1.2739,1.2756,1.269,1.2712
2006-10-17 00:00:00+00:00,1.2702,1.2713,1.2637,1.2685
2006-10-18 00:00:00+00:00,1.2689,1.2742,1.2653,1.2702
2006-10-19 00:00:00+00:00,1.2697,1.2706,1.2546,1.2574
2006-10-20 00:00:00+00:00,1.2573,1.2605,1.2556,1.259
2006-10-23 00:00:00+00:00,1.2579,1.2691,1.2579,1.2668
2006-10-24 00:00:00+00:00,1.2667,1.2706,1.2642,1.2667
2006-10-25 00:00:00+00:00,1.2668,1.2676,1.2623,1.2653
2006-10-26 00:00:00+00:00,1.2649,1.2651,1.2521,1.2536
2006-10-27 00:00:00+00:00,1.2539,1.2571,1.2467,1.249
2006-10-30 00:00:00+00:00,1.2487,1.251,1.247,1.2477
2006-10-31 00:00:00+00:00,1.2483,1.2531,1.2413,1.244
2006-11-01 00:00:00+00:00,1.2439,1.2462,1.2403,1.2456
2006-11-02 00:00:00+00:00,1.2453,1.2479,1.243,1.2454
2006-11-03 00:00:00+00:00,1.2452,1.2572,1.2444,1.2536
2006-11-06 00:00:00+00:00,1.2533,1.2582,1.2527,1.2559
2006-11-07 00:00:00+00:00,1.2556,1.2559,1.2438,1.25
2006-11-08 00:00:00+00:00,1.2493,1.2524,1.245,1.2512
2006-11-09 00:00:00+00:00,1.2508,1.2521,1.2402,1.2431
2006-11-10 00:00:00+00:00,1.243,1.2433,1.2345,1.2412
2006-11-13 00:00:00+00:00,1.24,1.2461,1.2357,1.2453
2006-11-14 00:00:00+00:00,1.2445,1.2471,1.2385,1.2437
